ID_Viaje,Hora_inicio,Hora_fin,N_pasajeros,Distancia_KM,Forma_de_pago,Tarfia_base,Extra,Tax,Propina,Coste_Peaje,Recargo_adicional,Importe_total,Zona_origen,Zona_destino
1002,01/01/2025 0:40,01/01/2025 0:49,1,1.98,1,11.4,1.0,0.5,3.28,0.0,1,19.68,Greenwich Village North,Seaport
1003,01/01/2025 0:52,01/01/2025 1:13,2,6.07,1,26.8,1.0,0.5,5.0,0.0,1,36.8,Financial District North,Yorkville East
1004,01/01/2025 0:26,01/01/2025 0:37,1,2.0,2,12.1,3.5,0.5,0.0,0.0,1,17.1,Upper East Side South,Yorkville East
1005,01/01/2025 0:41,01/01/2025 0:53,1,2.8,1,13.5,3.5,0.5,3.7,0.0,1,22.2,Yorkville West,Clinton East
1006,01/01/2025 0:56,01/01/2025 1:04,1,1.3,1,9.3,3.5,0.5,2.85,0.0,1,17.15,Clinton East,Lincoln Square East
1007,01/01/2025 0:24,01/01/2025 0:37,1,1.58,1,12.8,1.0,0.5,0.0,0.0,1,17.8,West Village,Gramercy
1008,01/01/2025 0:41,01/01/2025 0:53,1,1.03,1,11.4,1.0,0.5,3.0,0.0,1,19.4,Gramercy,Flatiron
1009,01/01/2025 0:22,01/01/2025 0:28,1,1.06,1,7.9,1.0,0.5,2.58,0.0,1,15.48,Murray Hill,Midtown East
1010,01/01/2025 0:32,01/01/2025 0:51,2,2.72,1,19.1,1.0,0.5,4.82,0.0,1,28.92,Union Sq,Financial District North
1011,01/01/2025 0:52,01/01/2025 1:14,1,4.84,2,26.1,1.0,0.5,0.0,0.0,1,31.1,Financial District North,Murray Hill
1012,01/01/2025 0:15,01/01/2025 0:39,1,2.14,1,21.2,1.0,0.5,6.55,0.0,1,32.75,Midtown Center,East Chelsea
1013,01/01/2025 0:49,01/01/2025 1:15,1,2.89,1,23.3,1.0,0.5,5.66,0.0,1,33.96,West Chelsea/Hudson Yards,Midtown North
1014,01/01/2025 0:56,01/01/2025 1:06,2,2.59,1,13.5,1.0,0.5,2.78,0.0,1,21.28,Lincoln Square East,Bloomingdale
1015,01/01/2025 0:08,01/01/2025 0:18,2,1.14,1,10.7,1.0,0.5,4.71,0.0,1,20.41,Upper West Side South,Clinton East
1016,01/01/2025 0:22,01/01/2025 0:26,2,0.91,1,7.2,1.0,0.5,2.44,0.0,1,14.64,Lincoln Square West,Upper West Side South
1017,01/01/2025 0:28,01/01/2025 0:39,2,2.06,1,12.8,1.0,0.5,3.56,0.0,1,21.36,Upper West Side South,Upper East Side North
1018,01/01/2025 0:22,01/01/2025 0:24,1,0.33,1,4.4,1.0,0.5,1.88,0.0,1,11.28,Lincoln Square East,Lincoln Square East
1019,01/01/2025 0:27,01/01/2025 0:45,1,3.5,1,19.8,1.0,0.5,1.5,0.0,1,26.3,Lincoln Square East,Lenox Hill East
1020,01/01/2025 0:53,01/01/2025 0:59,1,2.29,1,11.4,1.0,0.5,2.0,0.0,1,18.4,Lenox Hill East,Kips Bay
1021,01/01/2025 0:14,01/01/2025 0:20,1,1.29,2,9.3,1.0,0.5,0.0,0.0,1,14.3,Upper West Side North,Bloomingdale
1022,01/01/2025 0:13,01/01/2025 0:27,1,2.13,1,14.9,1.0,0.5,3.98,0.0,1,23.88,Lincoln Square East,Lenox Hill East
1023,01/01/2025 0:28,01/01/2025 0:32,1,0.56,2,6.5,1.0,0.5,0.0,0.0,1,11.5,Lenox Hill East,Upper East Side South
1024,01/01/2025 0:45,01/01/2025 1:07,1,3.42,1,21.9,1.0,0.5,8.07,0.0,1,34.97,Lincoln Square East,Sutton Place/Turtle Bay North
1025,01/01/2025 0:25,01/01/2025 0:46,1,1.36,1,18.4,1.0,0.5,2.0,0.0,1,25.4,Union Sq,Clinton West
1026,01/01/2025 0:09,01/01/2025 0:30,1,2.39,1,19.1,1.0,0.5,1.0,0.0,1,25.1,Midtown Center,East Chelsea
1027,01/01/2025 0:33,01/01/2025 1:02,1,4.42,1,28.2,1.0,0.5,5.0,0.0,1,38.2,Penn Station/Madison Sq West,Upper West Side South
1028,01/01/2025 0:07,01/01/2025 0:26,4,2.81,2,17.7,1.0,0.5,0.0,0.0,1,22.7,Midtown South,Hudson Sq
1029,01/01/2025 0:38,01/01/2025 1:15,1,9.79,2,45.0,1.0,0.5,0.0,0.0,1,50.0,West Village,Longwood
1030,01/01/2025 0:06,01/01/2025 0:19,1,2.32,1,14.9,1.0,0.5,1.4,0.0,1,21.3,Lenox Hill East,Upper West Side South
1031,01/01/2025 0:19,01/01/2025 0:24,2,0.9,1,7.2,1.0,0.5,1.22,0.0,1,13.42,Upper East Side North,Yorkville West
1032,01/01/2025 0:51,01/01/2025 1:02,1,1.94,1,12.8,1.0,0.5,3.56,0.0,1,21.36,Lenox Hill West,Midtown Center
1033,01/01/2025 0:13,01/01/2025 0:22,1,1.96,1,11.4,1.0,0.5,3.28,0.0,1,19.68,Murray Hill,Lenox Hill West
1034,01/01/2025 0:14,01/01/2025 0:28,1,2.68,1,15.6,1.0,0.5,4.12,0.0,1,24.72,East Village,Upper East Side South
1035,01/01/2025 0:15,01/01/2025 0:24,2,0.83,1,9.3,1.0,0.5,1.0,0.0,1,15.3,Gramercy,Kips Bay
1036,01/01/2025 0:33,01/01/2025 1:02,1,7.87,2,37.3,1.0,0.5,0.0,0.0,1,42.3,East Village,Sunset Park West
1037,01/01/2025 0:14,01/01/2025 0:23,1,1.51,1,10.7,1.0,0.5,3.14,0.0,1,18.84,Upper East Side North,Central Park
1038,01/01/2025 0:42,01/01/2025 0:46,2,0.4,1,5.8,3.5,0.5,1.0,0.0,1,11.8,East Village,East Village
1039,01/01/2025 0:16,01/01/2025 0:22,2,1.28,1,8.6,1.0,0.5,2.72,0.0,1,16.32,Meatpacking/West Village West,Penn Station/Madison Sq West
1040,01/01/2025 0:27,01/01/2025 1:09,1,5.91,1,40.8,1.0,0.5,11.45,0.0,1,57.25,East Chelsea,Yorkville West
1041,01/01/2025 0:10,01/01/2025 0:19,5,3.02,2,13.5,1.0,0.5,0.0,0.0,1,18.5,Midtown East,East Harlem North
1042,01/01/2025 0:24,01/01/2025 0:35,5,1.64,1,12.1,1.0,0.5,1.0,0.0,1,15.6,East Harlem North,Manhattanville
1043,01/01/2025 0:05,01/01/2025 0:25,1,4.19,1,21.9,1.0,0.5,5.38,0.0,1,32.28,Greenwich Village South,Lenox Hill West
1044,01/01/2025 0:28,01/01/2025 0:34,1,1.41,1,8.6,1.0,0.5,2.72,0.0,1,16.32,Lenox Hill West,Yorkville West
1045,01/01/2025 0:35,01/01/2025 0:39,1,0.83,1,6.5,1.0,0.5,1.72,0.0,1,13.22,Yorkville West,Lenox Hill East
1046,01/01/2025 0:04,01/01/2025 0:19,1,2.5,1,16.3,1.0,0.5,4.26,0.0,1,25.56,Little Italy/NoLiTa,Meatpacking/West Village West
1047,01/01/2025 0:21,01/01/2025 0:54,1,5.82,1,33.1,1.0,0.5,5.72,0.0,1,43.82,Meatpacking/West Village West,Lenox Hill West
1048,01/01/2025 0:22,01/01/2025 0:59,1,1.63,1,28.9,1.0,0.5,0.0,0.0,1,33.9,Midtown Center,Penn Station/Madison Sq West
1049,01/01/2025 0:21,01/01/2025 0:38,1,4.32,1,20.5,1.0,0.5,5.1,0.0,1,30.6,Lower East Side,Upper East Side South
1050,01/01/2025 0:38,01/01/2025 0:48,1,2.0,1,12.1,1.0,0.5,3.42,0.0,1,20.52,Upper East Side South,Upper West Side South
